name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
college park,2024-02-24T00:00:00,41,38.6,38.5,90.72,0,0,,0,0,9.2,3.9,227,1000.4,37.3,7.5,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2"
college park,2024-02-24T01:00:00,42.7,40.5,38.6,85.04,0,0,,0,0,10.3,4,214,1001.1,49.9,8.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T02:00:00,42.8,38.4,39.6,88.27,0,0,,0,0,11.4,7.2,220,999.6,57.9,8.8,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T03:00:00,44.8,39.6,40.4,84.76,0,0,,0,0,21.1,9.8,317,1008.1,94.2,8.8,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T04:00:00,45.7,40.9,39.2,77.7,0,0,,0,0,12.8,9.6,344,1001.4,95.9,8.8,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T05:00:00,46.2,42.9,38.1,73.28,0,0,,0,0,12.8,6.3,336,1001.7,100,8.8,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T06:00:00,45.4,41,38.9,77.96,0,0,,0,0,15,8.2,328,1002.9,100,8.8,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T07:00:00,44.6,40,38,77.74,0,0,,0,0,17.2,8.2,335,1003.7,93,8.8,1,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T08:00:00,45.2,40.5,37.4,73.85,0,0,,0,0,16.1,9.1,323,1005.1,56.4,8.8,26,0.1,0,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T09:00:00,46.2,41.5,35.5,66.24,0,0,,0,0,15,9.5,329,1006.2,64.8,8.8,233,0.8,2,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T10:00:00,49.2,44.3,33.8,55.26,0,0,,0,0,16.1,12.2,327,1006.4,60.4,8.8,364,1.3,4,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T11:00:00,50,50,30.5,46.75,0,0,,0,0,13.9,8.8,333,1006.4,66.9,9.9,469,1.7,5,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T12:00:00,51.4,51.4,28.8,41.48,0,0,,0,0,13.9,10.2,328,1006.2,63.2,9.9,573,2.1,6,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T13:00:00,51.6,51.6,28.8,41.27,0,0,,0,0,13.9,8.2,334,1006.4,81.6,9.9,580,2.1,6,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T14:00:00,51.4,51.4,27.8,39.92,0,0,,0,0,15,6.2,2,1006.4,76.4,9.9,409,1.5,4,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T15:00:00,49.8,46.5,27.7,42.09,0,0,,0,0,13.9,8.2,321,1006.9,81.6,9.9,301,1.1,3,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T16:00:00,48.8,45.3,29,46.29,0,0,,0,0,15,7.9,348,1007.7,73.2,9.9,96,0.3,1,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T17:00:00,47.3,42.7,28.9,48.58,0,0,,0,0,15,9.8,348,1008.7,73.7,9.9,41,0.1,0,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KADW,PWDM2,74594013705"
college park,2024-02-24T18:00:00,42.8,35.7,31.2,63.31,0,0,,0,0,23.2,14.3,357,1011.3,81.6,9.9,8,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T19:00:00,39.1,31.9,33.1,79.09,0.005,100,rain,0,0,13.9,11.4,334,1013.1,74,9.9,0,0,0,10,"Rain, Partially cloudy",rain,"KDCA,72405013743,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T20:00:00,37.6,32,31.4,78.07,0.007,100,rain,0,0,13.9,7.5,345,1014.3,95.9,9.9,0,0,0,10,"Rain, Overcast",rain,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T21:00:00,36.7,31.2,30.1,76.9,0,0,,0,0,12.8,6.9,331,1015.3,52,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T22:00:00,35.2,29.1,27.2,72.32,0,0,,0,0,10.3,7.3,346,1016.2,42,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-24T23:00:00,32.4,26.1,22.6,66.97,0,0,,0,0,9.2,6.8,354,1016.8,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T00:00:00,31.4,25.2,20.7,64.31,0,0,,0,0,5.8,6.4,355,1017.6,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T01:00:00,29.9,23,17.7,60.05,0,0,,0,0,4.7,6.9,359,1018.1,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T02:00:00,30.7,25.5,17.5,57.66,0,0,,0,0,4.7,5,334,1019.1,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T03:00:00,29.9,25.7,17.6,59.83,0,0,,0,0,4.7,4,351,1019.7,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T04:00:00,27.4,21.2,17,64.4,0,0,,0,0,4.7,5.5,9,1020,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T05:00:00,26.6,26.6,17.2,67.26,0,0,,0,0,3.4,1.6,6,1020.8,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T06:00:00,26.5,26.5,17.3,67.64,0,0,,0,0,3.4,2.2,45,1021.5,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T07:00:00,25.1,25.1,17,70.84,0,0,,0,0,2.2,2.7,38,1022.1,0,9.9,3,0,0,10,Clear,clear-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T08:00:00,28.7,28.7,18.5,65.35,0,0,,0,0,2.2,0,0,1023.1,12.9,9.9,100,0.4,1,10,Clear,clear-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T09:00:00,33.4,30.7,16.4,49.28,0,0,,0,0,3.4,3.1,102,1023.5,12.9,9.9,283,1,3,10,Clear,clear-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T10:00:00,35.4,32.9,15.5,43.76,0,0,,0,0,4.7,3.1,121,1023.6,12.9,9.9,457,1.6,5,10,Clear,clear-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T11:00:00,37.8,34.5,15.9,40.52,0,0,,0,0,4.7,4.2,206,1023.1,12.9,9.9,595,2.1,6,10,Clear,clear-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T12:00:00,39.8,36.4,15.8,37.31,0,0,,0,0,5.8,4.9,184,1022.6,41.9,9.9,674,2.4,7,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T13:00:00,42.9,37.8,17.7,35.89,0,0,,0,0,8.1,8.5,203,1021.8,41.9,9.9,695,2.5,7,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T14:00:00,45,40.5,19.2,35.44,0,0,,0,0,10.3,8.4,222,1020.5,23.5,9.9,635,2.3,6,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T15:00:00,45.6,40.3,20.8,37.05,0,0,,0,0,10.3,10.6,192,1019.9,12.9,9.9,548,2,5,10,Clear,clear-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T16:00:00,46,41.1,20.1,35.36,0,0,,0,0,11.4,10.1,193,1019.4,12.9,9.9,407,1.5,4,10,Clear,clear-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T17:00:00,45.3,40.2,19.9,36.02,0,0,,0,0,11.4,9.9,187,1019.2,0,9.9,227,0.8,2,10,Clear,clear-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T18:00:00,42,36.9,22,44.68,0,0,,0,0,11.4,8.3,177,1019.3,12.9,9.9,44,0.2,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T19:00:00,40,34.4,22.5,49.39,0,0,,0,0,10.3,8.4,169,1019.6,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T20:00:00,39.8,32.9,23,50.78,0,0,,0,0,11.4,11.2,169,1019.6,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T21:00:00,37.5,30.9,24.3,58.58,0,0,,0,0,11.4,9.3,173,1019.6,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T22:00:00,36.7,29.2,24.4,60.92,0,0,,0,0,10.3,10.7,173,1019.6,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-25T23:00:00,36.1,29.9,26.2,66.84,0,0,,0,0,10.3,8,176,1019.4,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T00:00:00,36.8,29.8,27.9,69.72,0,0,,0,0,11.4,9.9,173,1018.6,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T01:00:00,37.1,30.8,27.9,69.11,0,0,,0,0,11.4,8.5,188,1018.2,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T02:00:00,37.8,31.5,28.5,68.75,0,0,,0,0,12.8,8.9,185,1017.9,41.9,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T03:00:00,39.3,33.3,29.5,67.83,0,0,,0,0,12.8,8.8,187,1017.5,98.2,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T04:00:00,39.9,35.3,30.4,68.31,0,0,,0,0,12.8,6.6,187,1017.3,95.9,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T05:00:00,40.3,36.3,30.4,67.56,0,0,,0,0,11.4,5.7,186,1017.2,81.6,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T06:00:00,39.8,36.1,30.3,68.69,0,0,,0,0,10.3,5.1,188,1017.3,79.8,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T07:00:00,38.7,34.9,30.3,71.6,0,0,,0,0,10.3,5,182,1017.4,23.5,9.9,2,0,0,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T08:00:00,42.2,38.6,33.2,70.23,0,0,,0,0,11.4,5.8,176,1017.8,23.5,9.9,79,0.3,1,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T09:00:00,46.4,41.8,32.7,58.7,0,0,,0,0,12.8,9.3,206,1017.7,28,9.9,265,1,3,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T10:00:00,49.4,46.7,33.4,53.87,0,0,,0,0,11.4,6.5,210,1018,41.9,9.9,421,1.5,4,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T11:00:00,52.8,52.8,33.1,46.83,0,0,,0,0,9.2,6.5,213,1017.7,41.9,9.9,552,2,6,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T12:00:00,57.3,57.3,33.1,39.88,0,0,,0,0,8.1,3.5,80,1017.1,41.9,9.9,631,2.3,6,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T13:00:00,61.5,61.5,32.6,33.7,0,0,,0,0,6.9,6.8,193,1016.1,41.9,9.9,542,2,5,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T14:00:00,64.4,64.4,33.1,30.97,0,0,,0,0,8.1,6.3,171,1015.2,41.9,9.9,514,1.9,5,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T15:00:00,65.9,65.9,32,28.14,0,0,,0,0,6.9,7.6,164,1014.9,41.9,9.9,301,1.1,3,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T16:00:00,65.6,65.6,34.3,31.24,0,0,,0,0,5.8,7.7,182,1014.6,41.9,9.9,336,1.2,3,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T17:00:00,63.4,63.4,34.3,33.68,0,0,,0,0,6.9,7.3,181,1014.8,23.5,9.9,217,0.8,2,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T18:00:00,58.3,58.3,35.6,42.57,0,0,,0,0,6.9,8.3,141,1015.2,52,9.9,41,0.1,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T19:00:00,54.8,54.8,37.6,52.29,0,0,,0,0,8.1,6.6,143,1015.6,60.4,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T20:00:00,51.9,51.9,37.3,57.48,0,0,,0,0,8.1,5.2,103,1015.8,46.3,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T21:00:00,51,51,37.1,58.88,0,0,,0,0,9.2,1.3,33,1015.9,23.5,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T22:00:00,49.6,49.6,37.8,63.77,0,0,,0,0,9.2,0.8,30,1015.9,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-26T23:00:00,48.1,48.1,37.9,67.65,0,0,,0,0,8.1,2.1,60,1015.9,0,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T00:00:00,47.6,47.6,38.1,69.4,0,0,,0,0,8.1,2.1,96,1015.5,12.9,9.9,0,0,0,10,Clear,clear-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T01:00:00,46,46,38.6,75.43,0,0,,0,0,8.1,2.7,301,1015.2,23.5,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T02:00:00,46.2,45,38.4,74.22,0,0,,0,0,8.1,3.3,89,1014.8,47.1,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T03:00:00,44.2,44.2,38.4,79.84,0,0,,0,0,6.9,1.7,86,1014.5,47.1,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T04:00:00,45,45,38.6,78.29,0,0,,0,0,6.9,2.6,91,1014.3,47.1,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T05:00:00,45.2,43.8,39.8,81.02,0,0,,0,0,6.9,3.5,304,1014.6,47.1,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T06:00:00,44.7,43.6,38.9,80,0,0,,0,0,6.9,3.1,310,1014.9,47.1,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T07:00:00,45.5,45.5,38.2,75.35,0,0,,0,0,8.1,2.7,310,1014.7,41.9,9.9,5,0,0,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T08:00:00,50.1,50.1,41.3,71.52,0,0,,0,0,10.3,4.1,113,1014.8,47.1,9.9,109,0.4,1,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T09:00:00,54.3,54.3,40.7,59.95,0,0,,0,0,15,7.1,181,1014.3,41.9,9.4,231,0.8,2,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T10:00:00,59.3,59.3,40.2,49.25,0,0,,0,0,19.5,12.7,190,1013.6,23.5,9.4,419,1.5,4,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T11:00:00,61.1,61.1,39.6,44.99,0,0,,0,0,21.9,13.4,180,1013.4,52,9.4,523,1.9,5,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T12:00:00,62.2,62.2,39.6,43.33,0,0,,0,0,25.3,13.1,177,1013.3,65.5,9.9,305,1.1,3,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T13:00:00,62.1,62.1,39.2,42.68,0,0,,0,0,26.4,15.5,178,1012.5,73.5,9.4,271,1,3,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T14:00:00,60.4,60.4,42.7,51.91,0,0,,0,0,26.4,13.1,181,1011.1,70.9,9.9,158,0.6,2,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T15:00:00,57.2,57.2,48.9,74,0.004,100,rain,0,0,26.4,10.3,185,1010.1,95.6,9.3,97,0.3,1,10,"Rain, Overcast",rain,"KDCA,72405013743,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T16:00:00,58,58,51.1,77.79,0.011,100,rain,0,0,25.3,15.9,194,1010.5,100,9.9,15,0.1,0,10,"Rain, Overcast",rain,"KDCA,72405013743,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T17:00:00,58.8,58.8,51.1,75.58,0,0,,0,0,23.3,15.8,195,1010.4,100,9.9,8,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T18:00:00,57.8,57.8,50.7,77.06,0,0,,0,0,25.7,14.6,185,1010,100,9.9,2,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T19:00:00,57.3,57.3,51.6,81.2,0,0,,0,0,27.5,13.2,187,1010.6,100,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T20:00:00,56.5,56.5,51.1,82.03,0,0,,0,0,16.1,12.9,187,1010.6,100,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,PREM2,KGAI,KADW,72033493764,74594013705"
college park,2024-02-27T21:00:00,56.1,56.1,51.5,84.45,0,0,,0,0,26.4,11.4,187,1010.8,100,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T22:00:00,56.4,56.4,52.6,87,0,0,,0,0,18.3,10.5,182,1010.5,100,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-27T23:00:00,56,56,53.3,90.87,0,0,,0,0,26.4,8.7,181,1009.7,100,7.4,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T00:00:00,55.2,55.2,52.9,92.18,0.01,100,rain,0,0,25.3,10.2,178,1009.4,95.9,8.5,0,0,0,10,"Rain, Overcast",rain,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T01:00:00,55.9,55.9,52.7,88.84,0,0,,0,0,25.3,12,182,1008.4,100,8.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T02:00:00,55.8,55.8,51.9,86.85,0,0,,0,0,25.3,10.1,188,1007.7,100,9.1,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T03:00:00,56.9,56.9,51.7,82.92,0,0,,0,0,24.2,11.6,194,1007.2,100,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T04:00:00,58.8,58.8,51.6,77,0,0,,0,0,21,12.2,199,1006.5,95.9,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T05:00:00,60.2,60.2,51.4,72.51,0,0,,0,0,24.2,14.1,191,1006,59.9,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T06:00:00,59.2,59.2,51.3,75.13,0,0,,0,0,24.2,15,182,1005.2,63.1,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T07:00:00,61.4,61.4,52.7,72.96,0,0,,0,0,24.2,14.7,194,1005.1,70.9,9.9,0,0,0,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T08:00:00,61.3,61.3,53.1,74.22,0,0,,0,0,27.7,16.7,190,1005.1,84,9.1,16,0.1,0,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T09:00:00,61.7,61.7,53.8,75.26,0,0,,0,0,36,20.5,190,1004.8,95.9,9.1,34,0.1,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T10:00:00,59.2,59.2,53.7,81.93,0.016,100,rain,0,0,32,17.9,182,1004.2,82.7,9.2,55,0.2,1,10,"Rain, Partially cloudy",rain,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2"
college park,2024-02-28T11:00:00,63.6,63.6,53.8,70.5,0.006,100,rain,0,0,31.9,20.8,202,1004.7,81.6,9.9,118,0.4,1,10,"Rain, Partially cloudy",rain,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T12:00:00,63.3,63.3,54,71.6,0.01,100,rain,0,0,30.6,19.7,198,1003.8,93.6,9.9,167,0.6,2,10,"Rain, Overcast",rain,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T13:00:00,64.6,64.6,52.8,65.75,0,0,,0,0,33,20.9,218,1003.6,95.9,9.9,222,0.8,2,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T14:00:00,64.4,64.4,53.2,66.92,0,0,,0,0,31.4,18.3,215,1003.8,95.9,9.9,84,0.3,1,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T15:00:00,61.6,61.6,56.1,82.31,0.034,100,rain,0,0,28.2,14.7,207,1003.9,95.9,9.9,66,0.2,1,10,"Rain, Overcast",rain,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2024-02-28T16:00:00,60.9,60.9,56.4,84.91,0.014,100,rain,0,0,25.3,17.3,195,1003,95.6,9.9,49,0.2,0,10,"Rain, Overcast",rain,"KDCA,72405013743,KADW,72033493764,PWDM2,74594013705"
